stock_name,window_size,train_start,train_end,learn_iteration,model_name,add_all,total_profit
AMD,10,2020-01-01,2022-12-31,50000,A2C,True,0.47
AMD,10,2020-01-01,2022-12-31,50000,A2C,False,0.65
AMD,10,2020-01-01,2022-12-31,50000,PPO,True,0.53
AMD,10,2020-01-01,2022-12-31,50000,PPO,False,0.56
AMD,10,2020-01-01,2022-12-31,50000,DQN,True,0.25
AMD,10,2020-01-01,2022-12-31,50000,DQN,False,0.73
AMD,30,2020-01-01,2022-12-31,50000,A2C,True,0.9
AMD,30,2020-01-01,2022-12-31,50000,A2C,False,0.5
AMD,30,2020-01-01,2022-12-31,50000,PPO,True,0.43
AMD,30,2020-01-01,2022-12-31,50000,PPO,False,0.46
AMD,30,2020-01-01,2022-12-31,50000,DQN,True,0.37
AMD,30,2020-01-01,2022-12-31,50000,DQN,False,0.67
AMD,50,2020-01-01,2022-12-31,50000,A2C,True,0.46
AMD,50,2020-01-01,2022-12-31,50000,A2C,False,0.35
AMD,50,2020-01-01,2022-12-31,50000,PPO,True,0.52
AMD,50,2020-01-01,2022-12-31,50000,PPO,False,0.51
AMD,50,2020-01-01,2022-12-31,50000,DQN,True,0.59
AMD,50,2020-01-01,2022-12-31,50000,DQN,False,0.55
