,tickers,kurtosis,stock_full_names
0,MMM,6.756925662758958,3M Company
1,AOS,4.121724653384218,A. O. Smith Corporation
2,ABT,6.364688541937136,Abbott Laboratories
3,ABBV,8.978880613392349,AbbVie Inc.
4,ACN,5.478157921164605,Accenture plc
5,ADBE,7.39616340108981,Adobe Inc.
6,AMD,2.078542975968421,"Advanced Micro Devices, Inc."
7,AES,6.860102583977115,The AES Corporation
8,AFL,32.24640373747274,Aflac Incorporated
9,A,3.3187502174149635,"Agilent Technologies, Inc."
10,APD,12.259374455618614,"Air Products and Chemicals, Inc."
11,ABNB,1.6243783133160976,"Airbnb, Inc."
12,AKAM,6.558349991069559,"Akamai Technologies, Inc."
13,ALB,3.279135755128969,Albemarle Corporation
14,ARE,9.471073598146095,"Alexandria Real Estate Equities, Inc."
15,ALGN,16.783715810035496,"Align Technology, Inc."
16,ALLE,6.048350730009243,Allegion plc
17,LNT,5.8807420768798675,Alliant Energy Corporation
18,ALL,8.383064714299971,The Allstate Corporation
19,GOOGL,3.3094391910595227,Alphabet Inc.
20,GOOG,3.311791292019859,Alphabet Inc.
21,MO,7.036277094582768,"Altria Group, Inc."
22,AMZN,3.912106347719066,"Amazon.com, Inc."
23,AMCR,15.086691145886832,Amcor plc
24,AEE,18.727299347455066,Ameren Corporation
25,AAL,17.05495104087369,American Airlines Group Inc.
26,AEP,9.382719932576569,"American Electric Power Company, Inc."
27,AXP,15.746736564469458,American Express Company
28,AIG,11.030189704294566,"American International Group, Inc."
29,AMT,7.4920447635833725,American Tower Corporation
30,AWK,11.72880460995816,"American Water Works Company, Inc."
31,AMP,19.065164534000896,"Ameriprise Financial, Inc."
32,AME,19.972885126640534,"AMETEK, Inc."
33,AMGN,6.854449795985451,Amgen Inc.
34,APH,7.335357391593826,Amphenol Corporation
35,ADI,7.328298406095572,"Analog Devices, Inc."
36,ANSS,7.56054929824022,"ANSYS, Inc."
37,AON,15.294326281392088,Aon plc
38,APA,23.211298023868807,APA Corporation
39,AAPL,5.006027663482657,Apple Inc.
40,AMAT,3.5754267722358013,"Applied Materials, Inc."
41,APTV,15.011826342368195,Aptiv PLC
42,ACGL,9.770993815700988,Arch Capital Group Ltd.
43,ADM,23.037687645187628,Archer-Daniels-Midland Company
44,ANET,9.21652943642604,"Arista Networks, Inc."
45,AJG,13.27721447090357,Arthur J. Gallagher & Co.
46,AIZ,16.428441664989183,"Assurant, Inc."
47,T,6.864095552206987,AT&T Inc.
48,ATO,13.271287205011657,Atmos Energy Corporation
49,ADSK,5.537640430849056,"Autodesk, Inc."
50,ADP,12.173832637577535,"Automatic Data Processing, Inc."
51,AZO,12.60524656402246,"AutoZone, Inc."
52,AVB,10.92240249968384,"AvalonBay Communities, Inc."
53,AVY,17.209030721830658,Avery Dennison Corporation
54,AXON,7.075009803034238,"Axon Enterprise, Inc."
55,BKR,8.582532034369878,Baker Hughes Company
56,BALL,10.189865996317497,Ball Corporation
57,BAC,9.85910000170157,Bank of America Corporation
58,BK,9.310966889275507,The Bank of New York Mellon Corporation
59,BBWI,18.933442274271755,"Bath & Body Works, Inc."
60,BAX,8.99119990243143,Baxter International Inc.
61,BDX,9.203793400274728,"Becton, Dickinson and Company"
62,BBY,6.158896542332515,"Best Buy Co., Inc."
63,BIO,4.381469526142007,"Bio-Rad Laboratories, Inc."
64,TECH,2.619464744146813,Bio-Techne Corporation
65,BIIB,90.1457530306334,Biogen Inc.
66,BLK,8.067290732084585,"BlackRock, Inc."
67,BX,5.142998166310333,Blackstone Inc.
68,BA,11.203164083355112,The Boeing Company
69,BKNG,5.966910969028442,Booking Holdings Inc.
70,BWA,3.908979977083502,BorgWarner Inc.
71,BXP,8.450193912468958,"Boston Properties, Inc."
72,BSX,6.758836226333253,Boston Scientific Corporation
73,BMY,4.081263757980286,Bristol-Myers Squibb Company
74,AVGO,9.12982281294534,Broadcom Inc.
75,BR,6.605392023436538,"Broadridge Financial Solutions, Inc."
76,BRO,7.250072390222277,"Brown & Brown, Inc."
77,BLDR,7.6536417206012874,"Builders FirstSource, Inc."
78,BG,5.882283590126789,Bunge Global SA
79,CDNS,3.211311937228533,"Cadence Design Systems, Inc."
80,CZR,15.787178702380519,"Caesars Entertainment, Inc."
81,CPT,11.586893777902343,Camden Property Trust
82,CPB,6.542975514394776,Campbell Soup Company
83,COF,9.391268551086723,Capital One Financial Corporation
84,CAH,8.082239235497637,"Cardinal Health, Inc."
85,KMX,9.620991776063706,"CarMax, Inc."
86,CCL,9.358637152680457,Carnival Corporation & plc
87,CARR,18.451863166838855,Carrier Global Corporation
88,CTLT,15.445563480193673,"Catalent, Inc."
89,CAT,4.391250145921084,Caterpillar Inc.
90,CBOE,10.88068424653157,"Cboe Global Markets, Inc."
91,CBRE,8.466317155659366,"CBRE Group, Inc."
92,CDW,7.946805549669561,CDW Corporation
93,CE,6.152013987875234,Celanese Corporation
94,COR,8.862647122153,"Cencora, Inc."
95,CNC,6.739035777546144,Centene Corporation
